Designator,Package,Mid X,Mid Y,Rotation,Layer
U3,SOT-23W,-16.256,33.7,180,top
U3,SOT-23W,-16.256,48.7,180,top
U3,SOT-23W,-16.256,63.7,180,top
U3,SOT-23W,-16.256,78.7,180,top
U3,SOT-23W,-16.256,93.7,180,top
U3,SOT-23W,-16.256,-11.3,180,top
U4,SOT-23-5,6.604,33.6746,180,top
U4,SOT-23-5,6.604,-11.3254,180,top
U4,SOT-23-5,6.604,93.6746,180,top
U4,SOT-23-5,6.604,78.6746,180,top
U4,SOT-23-5,6.604,63.6746,180,top
U4,SOT-23-5,6.604,48.6746,180,top
U4,SOT-23-5,6.604,18.6746,180,top
U4,SOT-23-5,6.604,3.6746,180,top
U5,SOT-23-5-AND-TSSOP5,-33.02,48.6746,180,top
U5,SOT-23-5-AND-TSSOP5,-33.02,3.6746,180,top
U5,SOT-23-5-AND-TSSOP5,-33.02,63.6746,180,top
U5,SOT-23-5-AND-TSSOP5,-33.02,-11.3254,180,top
U5,SOT-23-5-AND-TSSOP5,-33.02,33.6746,180,top
U5,SOT-23-5-AND-TSSOP5,-33.02,18.6746,180,top
U5,SOT-23-5-AND-TSSOP5,-33.02,78.6746,180,top
U5,SOT-23-5-AND-TSSOP5,-33.02,93.6746,180,top
U6,SOT-23-5-AND-TSSOP5,-37.084,63.6746,180,top
U6,SOT-23-5-AND-TSSOP5,-37.084,48.6746,180,top
U6,SOT-23-5-AND-TSSOP5,-37.084,33.6746,180,top
U6,SOT-23-5-AND-TSSOP5,-37.084,18.6746,180,top
U6,SOT-23-5-AND-TSSOP5,-37.084,3.6746,180,top
U6,SOT-23-5-AND-TSSOP5,-37.084,78.6746,180,top
U6,SOT-23-5-AND-TSSOP5,-37.084,93.6746,180,top
U6,SOT-23-5-AND-TSSOP5,-37.084,-11.3254,180,top
U7,SOT-23-5-AND-TSSOP5,37.084,3.6746,180,top
U7,SOT-23-5-AND-TSSOP5,37.084,18.6746,180,top
U7,SOT-23-5-AND-TSSOP5,37.084,33.6746,180,top
U7,SOT-23-5-AND-TSSOP5,37.084,48.6746,180,top
U7,SOT-23-5-AND-TSSOP5,37.084,63.6746,180,top
U7,SOT-23-5-AND-TSSOP5,37.084,78.6746,180,top
U7,SOT-23-5-AND-TSSOP5,37.084,-11.3254,180,top
U7,SOT-23-5-AND-TSSOP5,37.084,93.6746,180,top
U8,SOT-23-5-AND-TSSOP5,33.02,78.6746,180,top
U8,SOT-23-5-AND-TSSOP5,33.02,93.6746,180,top
U8,SOT-23-5-AND-TSSOP5,33.02,63.6746,180,top
U8,SOT-23-5-AND-TSSOP5,33.02,48.6746,180,top
U8,SOT-23-5-AND-TSSOP5,33.02,33.6746,180,top
U8,SOT-23-5-AND-TSSOP5,33.02,18.6746,180,top
U8,SOT-23-5-AND-TSSOP5,33.02,3.6746,180,top
U8,SOT-23-5-AND-TSSOP5,33.02,-11.3254,180,top
U9,SOT-23-5,10.414,3.6746,180,top
U9,SOT-23-5,10.414,18.6746,180,top
U9,SOT-23-5,10.414,33.6746,180,top
U9,SOT-23-5,10.414,48.6746,180,top
U9,SOT-23-5,10.414,63.6746,180,top
U9,SOT-23-5,10.414,78.6746,180,top
U9,SOT-23-5,10.414,93.6746,180,top
U9,SOT-23-5,10.414,-11.3254,180,top
