Designator,Mid X,Mid Y,Rotation,Layer
U3,-16.256,8.7,180,top
U3,-16.256,28.7,180,top
U3,-16.256,48.7,180,top
U3,-16.256,68.7,180,top
U3,-16.256,88.7,180,top
U3,-16.256,128.7,180,top
U4,6.604,28.6746,180,top
U4,6.604,-11.3254,180,top
U4,6.604,128.6746,180,top
U4,6.604,108.6746,180,top
U4,6.604,88.6746,180,top
U4,6.604,68.6746,180,top
U4,6.604,48.6746,180,top
U4,6.604,8.6746,180,top
U5,-33.02,-11.3254,180,top
U5,-33.02,108.6746,180,top
U5,-33.02,128.6746,180,top
U5,-33.02,8.6746,180,top
U5,-33.02,88.6746,180,top
U5,-33.02,68.6746,180,top
U5,-33.02,48.6746,180,top
U5,-33.02,28.6746,180,top
U6,-37.084,68.6746,180,top
U6,-37.084,8.6746,180,top
U6,-37.084,28.6746,180,top
U6,-37.084,48.6746,180,top
U6,-37.084,-11.3254,180,top
U6,-37.084,128.6746,180,top
U6,-37.084,108.6746,180,top
U6,-37.084,88.6746,180,top
U7,37.084,108.6746,180,top
U7,37.084,-11.3254,180,top
U7,37.084,8.6746,180,top
U7,37.084,28.6746,180,top
U7,37.084,48.6746,180,top
U7,37.084,68.6746,180,top
U7,37.084,88.6746,180,top
U7,37.084,128.6746,180,top
U8,33.02,48.6746,180,top
U8,33.02,68.6746,180,top
U8,33.02,88.6746,180,top
U8,33.02,108.6746,180,top
U8,33.02,128.6746,180,top
U8,33.02,8.6746,180,top
U8,33.02,28.6746,180,top
U8,33.02,-11.3254,180,top
U9,10.414,108.6746,180,top
U9,10.414,88.6746,180,top
U9,10.414,68.6746,180,top
U9,10.414,48.6746,180,top
U9,10.414,28.6746,180,top
U9,10.414,8.6746,180,top
U9,10.414,128.6746,180,top
U9,10.414,-11.3254,180,top
