Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       16.02.17
Time:       12:26
Revision:   0
Variant:    Default_assembly
Units used: mm

Designator Footprint Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Layer       Rotation 
U100       AP6-00262 -26.150      -3.725       -26.150   -3.725    -25.650   -4.300    BottomLayer 90       
SW200      AP8-00137 -26.000      -4.900       -26.000   -4.900    -28.000   -7.650    TopLayer    90       
SW300      AP8-00137 -33.000      -4.900       -33.000   -4.900    -35.000   -7.650    TopLayer    90       
R807       AP2-00011 -2.200       -11.100      -2.200    -11.100   -1.700    -11.100   BottomLayer 180      
R805       AP2-00011 -4.700       -11.100      -4.700    -11.100   -4.200    -11.100   BottomLayer 180      
R804       AP2-00011 -5.200       -9.200       -5.200    -9.200    -5.200    -8.700    BottomLayer 270      
R806       AP2-00011 -1.200       -9.200       -1.200    -9.200    -1.200    -9.700    BottomLayer 90       
R801       AP2-00000 -7.575       -25.400      -7.575    -25.400   -6.975    -25.400   BottomLayer 180      
R800       AP2-00000 -7.575       -26.550      -7.575    -26.550   -6.975    -26.550   BottomLayer 180      
R200       AP2-00011 -23.600      -11.550      -23.600   -11.550   -23.100   -11.550   TopLayer    180      
R104       AP2-00011 -12.200      -10.550      -12.200   -10.550   -11.700   -10.550   BottomLayer 180      
Q100       AP5-00047 -10.096      -13.725      -10.096   -13.725   -10.746   -12.850   BottomLayer 0        
Q102       AP5-00047 -12.425      -13.725      -12.425   -13.725   -13.075   -12.850   BottomLayer 0        
JS102      AP8-00525 -224.080     -202.480     -40.100   -5.575    -224.080  -202.480  TopLayer    0        
J103       AP8-00367 -40.000      -10.950      -40.000   -10.950   -41.270   -10.950   TopLayer    0        
J400       AP8-00628 -5.700       -14.760      -5.700    -14.760   -6.970    -13.490   TopLayer    270      
D800       AP4-00160 -8.750       -2.500       -8.750    -2.500    -8.750    -3.000    TopLayer    90       
D801       AP4-00160 -6.500       -2.500       -6.500    -2.500    -6.500    -3.000    TopLayer    90       
C100       AP1-00117 -27.800      -3.450       -27.800   -3.450    -27.800   -4.150    BottomLayer 90       
C101       AP1-00117 -24.500      -3.450       -24.500   -3.450    -24.500   -4.150    BottomLayer 90       
J403       AP8-00622 -30.000      -94.300      -30.000   -94.300   -18.570   -93.030   TopLayer    180      
J800       AP8-00852 -15.600      -3.237       -15.600   -1.675    -14.300   -4.475    TopLayer    180      
U800       AP6-00206 -25.025      -20.775      -25.025   -20.775   -22.100   -23.700   BottomLayer 90       
C800       AP1-00053 -16.900      -21.700      -16.900   -21.700   -16.900   -22.175   BottomLayer 90       
C801       AP1-00053 -16.900      -19.800      -16.900   -19.800   -16.900   -19.325   BottomLayer 270      
C804       AP1-00053 -16.900      -17.950      -16.900   -17.950   -16.900   -18.425   BottomLayer 90       
C806       AP1-00053 -31.925      -18.900      -31.925   -18.900   -31.450   -18.900   BottomLayer 180      
C807       AP1-00053 -25.500      -15.100      -25.500   -15.100   -25.025   -15.100   BottomLayer 180      
C808       AP1-00053 -25.500      -16.000      -25.500   -16.000   -25.025   -16.000   BottomLayer 180      
C809       AP1-00053 -23.400      -15.100      -23.400   -15.100   -23.875   -15.100   BottomLayer 0        
C810       AP1-00053 -23.400      -16.000      -23.400   -16.000   -23.875   -16.000   BottomLayer 0        
C811       AP1-00053 -19.800      -21.300      -19.800   -21.300   -20.275   -21.300   BottomLayer 0        
C812       AP1-00053 -25.375      -25.500      -25.375   -25.500   -25.850   -25.500   BottomLayer 0        
C813       AP1-00053 -30.000      -21.900      -30.000   -21.900   -30.000   -21.425   BottomLayer 270      
C814       AP1-00053 -30.875      -21.900      -30.875   -21.900   -30.875   -21.425   BottomLayer 270      
C815       AP1-00053 -25.375      -26.400      -25.375   -26.400   -25.850   -26.400   BottomLayer 0        
C802       AP1-00053 -12.275      -6.425       -12.275   -6.425    -12.750   -6.425    TopLayer    360      
C803       AP1-00053 -12.275      -7.725       -12.275   -7.725    -12.750   -7.725    TopLayer    360      
D802       AP4-00159 -15.775      -7.075       -15.800   -7.075    -15.000   -6.425    TopLayer    180      
E1         AP8-00192 -224.080     -202.480     -9.000    -4.500    -224.080  -202.480  BottomLayer 180      
E2         AP8-00192 -224.080     -202.480     -70.350   -4.500    -224.080  -202.480  BottomLayer 180      
E3         AP8-00192 -224.080     -202.480     -9.000    -95.500   -224.080  -202.480  BottomLayer 180      
E4         AP8-00192 -224.080     -202.480     -75.000   -95.500   -224.080  -202.480  BottomLayer 180      
L801       AP3-00005 -32.075      -20.000      -32.075   -20.000   -32.775   -20.000   BottomLayer 0        
L800       AP3-00005 -13.875      -7.025       -13.875   -7.025    -13.875   -6.325    TopLayer    270      
LABEL1     AP8-00317 -224.080     -202.480     -11.883   -88.930   -224.080  -202.480  BottomLayer 180      
R809       AP2-00000 -32.655      -30.775      -32.655   -30.775   -32.655   -31.375   BottomLayer 90       
R810       AP2-00000 -20.700      -30.775      -20.700   -30.775   -20.700   -31.375   BottomLayer 90       
R811       AP2-00000 -19.400      -30.775      -19.400   -30.775   -19.400   -31.375   BottomLayer 90       
R815       AP2-00000 -28.830      -30.775      -28.830   -30.775   -28.830   -30.175   BottomLayer 270      
R819       AP2-00011 -20.300      -16.700      -20.300   -16.700   -20.300   -17.200   BottomLayer 90       
R820       AP2-00011 -20.300      -18.700      -20.300   -18.700   -20.300   -18.200   BottomLayer 270      
R821       AP2-00011 -17.800      -17.950      -17.800   -17.950   -17.800   -17.450   BottomLayer 270      
XC800      AP7-00089 -14.700      -20.250      -14.700   -20.250   -15.625   -21.400   BottomLayer 90       
J401       AP8-00622 -5.700       -40.160      -5.700    -40.160   -6.970    -28.730   TopLayer    270      
C200       AP1-00053 -23.600      -10.675      -23.600   -10.675   -23.125   -10.675   TopLayer    180      
R201       AP2-00011 -23.600      -9.800       -23.600   -9.800    -24.100   -9.800    TopLayer    360      
R111       AP2-00011 -37.875      -22.250      -37.875   -22.250   -37.875   -22.750   BottomLayer 90       
R112       AP2-00011 -38.700      -22.250      -38.700   -22.250   -38.700   -21.750   BottomLayer 270      
U101       AP6-00162 -26.725      -7.750       -26.725   -7.750    -27.775   -8.400    BottomLayer 0        
R1103      AP2-00011 -36.925      -26.128      -36.925   -26.128   -36.925   -25.628   BottomLayer 270      
JS100      AP8-00525 -224.080     -202.480     -36.696   -16.030   -224.080  -202.480  TopLayer    90       
R812       AP2-00000 -26.280      -30.775      -26.280   -30.775   -26.280   -31.375   BottomLayer 90       
R1102      AP2-00011 -37.825      -26.128      -37.825   -26.128   -37.825   -25.628   BottomLayer 270      
C300       AP1-00053 -21.927      -65.625      -21.927   -65.625   -21.927   -66.100   TopLayer    90       
C301       AP1-00053 -21.925      -67.600      -21.925   -67.600   -21.925   -67.125   TopLayer    270      
C302       AP1-00053 -37.875      -71.075      -37.875   -71.075   -37.400   -71.075   TopLayer    180      
C303       AP1-00053 -40.075      -71.075      -40.075   -71.075   -40.550   -71.075   TopLayer    360      
C304       AP1-00122 -70.050      -93.150      -70.050   -93.150   -65.250   -93.150   TopLayer    180      
C500       AP1-00003 -73.925      -54.513      -73.925   -54.513   -74.750   -54.513   TopLayer    360      
C501       AP1-00117 -64.231      -54.505      -64.231   -54.505   -64.231   -53.806   TopLayer    270      
C502       AP1-00001 -66.025      -54.500      -66.025   -54.500   -66.025   -53.950   TopLayer    270      
